# mphi[eV]; Yb X-coefficients [Hz]:	Yb+:S1/2->D5/2;	Yb+:S1/2->D3/2;	Yb+:S1/2->F7/2;	Yb:1S0->2D2;	Yb:1S0->3P0;
8.317637711	-31498346365011.3	-35493873644580.4	257343637881377	-4130299651010.76	31288929899668.8
8.511380382	-31497695215409	-35493215014376.8	257317762585483	-4131098639156.23	31286732700430.5
8.7096358996	-31497032789428.9	-35492544166331.6	257291728839684	-4131904030119.18	31284510912130.9
8.9125093813	-31496359205704.8	-35491861193769.7	257265550858518	-4132715434785.34	31282265376181.5
9.1201083936	-31495674582870	-35491166190016.9	257239242856525	-4133532464040.94	31279996933994.1
9.332543008	-31494979039557.8	-35490459248398.3	257212819048245	-4134354728771.8	31277706426980.6
9.5499258602	-31494272694401.9	-35489740462239.4	257186293648217	-4135181839863.99	31275394696552.6
9.7723722096	-31493555666035.6	-35489009924865.4	257159680870980	-4136013408203.4	31273062584121.8
10	-31492828073092.4	-35488267729601.8	257132994931075	-4136849044675.93	31270710931100.2
10.2329299228	-31492090034205.7	-35487513969773.9	257106250043041	-4137688360167.7	31268340578899.4
10.4712854805	-31491341668008.9	-35486748738706.9	257079460421417	-4138530965564.63	31265952368931.1
10.7151930524	-31490583093135.5	-35485972129726.4	257052640280743	-4139376471752.59	31263547142607.1
10.9647819614	-31489814428219	-35485184236157.7	257025803835558	-4140224489617.62	31261125741339.3
11.220184543	-31489035791892.8	-35484385151326	256998965300403	-4141074630045.71	31258689006539.2
11.481536215	-31488247302790.2	-35483574968556.7	256972138889816	-4141926503922.7	31256237779618.7
11.7489755494	-31487449079544.9	-35482753781175.3	256945338818337	-4142779722134.74	31253772901989.6
12.0226443462	-31486641240790.2	-35481921682506.9	256918579300505	-4143633895567.63	31251295215063.6
12.3026877081	-31485823905159.4	-35481078765877	256891874550861	-4144488635107.54	31248805560252.3
12.5892541179	-31484997191286.3	-35480225124611.1	256865238783944	-4145343551640.15	31246304778967.7
12.8824955169	-31484161217804.1	-35479360852034.3	256838686214292	-4146198256051.59	31243793712621.4
13.1825673856	-31483316103346.2	-35478486041472	256812231056447	-4147052359227.92	31241273202625.1
13.4896288259	-31482461966546.2	-35477600786249.7	256785887524947	-4147905472054.9	31238744090390.8
13.803842646	-31481598926037.4	-35476705179692.6	256759669834331	-4148757205418.58	31236207217330
14.1253754462	-31480727100453.4	-35475799315126.1	256733592199141	-4149607170205.05	31233663424854.6
14.4543977075	-31479846608427.5	-35474883285875.5	256707668833914	-4150454977300.13	31231113554376.2
14.7910838817	-31478957568593.3	-35473957185266.3	256681913953190	-4151300237589.72	31228558447306.8
15.1356124844	-31478060099584	-35473021106623.8	256656341771510	-4152142561959.92	31225998945057.9
15.4881661891	-31477154320033.3	-35472075143273.1	256630966503413	-4152981561296.68	31223435889041.4
15.8489319246	-31476240348574.5	-35471119388539.9	256605802363437	-4153816846486	31220870120669
16.2181009736	-31475318303841	-35470153935749.4	256580863566123	-4154648028413.69	31218302481352.5
16.5958690744	-31474388304466.3	-35469178878226.9	256556164326011	-4155474717965.9	31215733812503.6
16.9824365246	-31473450469084	-35468194309297.9	256531718857639	-4156296526028.44	31213164955534.1
17.3780082875	-31472504916327.3	-35467200322287.6	256507541375548	-4157113063487.44	31210596751855.7
17.7827941004	-31471551764829.8	-35466197010521.4	256483646094276	-4157923941228.64	31208030042880.2
18.1970085861	-31470591133224.8	-35465184467324.7	256460047228364	-4158728770138.26	31205465670019.2
18.6208713666	-31469623140145.9	-35464162786022.8	256436758992351	-4159527161102.07	31202904474684.7
19.0546071796	-31468647904226.4	-35463132059941.1	256413795600777	-4160318725006.11	31200347298288.2
19.4984459976	-31467665544099.9	-35462092382404.9	256391171268180	-4161103072736.35	31197794982241.8
19.9526231497	-31466676178399.7	-35461043846739.5	256368900209102	-4161879815178.77	31195248367956.9
